电源节点,来源,目标电压,主要负载,状态,优先级,待确认
MAG_5V,4Pin磁吸接口,5V,充电/Power Path + USB VBUS,未冻结,P0,输入保护/ESD/额定电流
BAT_1S,充电管理+LiPo,约3.0~4.2V,BK7258 VBAT + 系统能源,未冻结,P0,容量/最大持续及峰值电流
BK_VBAT,BAT_1S,2.0~4.35V允许范围,BK7258,路径成立,P0,按最终参考设计确认去耦/滤波/片内DC-DC外围
SYS_3V3,BAT_1S经稳压,3.3V,ICS-43434 + BMI270 + PCA9540B + DRV2605L LEFT/RIGHT及其它3V3逻辑,架构冻结/器件待选,P0,稳压器拓扑/峰值电流/效率
HAPTIC_3V3,SYS_3V3,3.3V,PCA9540B + 两颗DRV2605L,架构冻结,P0,PCA upstream/CH0/CH1各自I2C上拉；DRV去耦
CAM_2V8,SYS_3V3/BAT,2.8V,OV5640 AVDD/DOVDD,未冻结,P0,LDO电流/纹波/启动时序
CAM_CORE,SYS_3V3,1.2V或1.5V,OV5640 DVDD,未冻结,P0,按最终Camera模组确认
AUDIO_PWR,BAT_1S或系统电源,2.5~5.5V范围内按最终方案,MAX98357A + 两只并联骨传导,未冻结,P0,实际供电点/功率/温升
USB_VBUS_SENSE,MAG_5V,安全逻辑电平,BK7258 USB/充电状态检测,未冻结,P1,按Beken USB参考电路
TP_3V3,SYS_3V3,3.3V,开发测试点,冻结,P1,Mandatory
TP_GND,GND,0V,开发测试点,冻结,P1,Mandatory
